"Name","ProductAction","ProductId","ImageAction","Stage","Error"
"1/2"" High-Torque Drill","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"1-9/16"" Spline Combination Hammer","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"7"" Large Angle Grinder","already imported","b423bffa-5975-4e50-9e59-79f0402870e1","uploaded + linked","done",""
"9"" Large Angle Grinder","already imported","16f1df8c-3ec9-4ce2-bf4b-1c1ecb0911e1","uploaded + linked","done",""
"SDS-max® Demolition Hammer","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"SDS-max® Demolition Hammer","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"Ideal for","inserted","d9a7319c-51c1-4eeb-bcde-0e1f4cc00d26","uploaded + linked","done",""
"9069 - 9"" Angle Grinder","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"9527NB - 4-1/2"" Angle Grinder","already imported","c692b213-1777-415c-afdb-61f47bea81e5","uploaded + linked","done",""
"HP2010N - 3/4"" Hammer Drill (2-Speed, Variable Speed, Reversible)","already imported","2330d1b9-dbe4-4cde-b35b-74a8d464b120","uploaded + linked","done",""
"HR3851 - 1-1/2"" Rotary Hammer (Spline, AC/DC)","already imported","24bb5f95-8534-4ca9-b90c-c570e5dcebf9","uploaded + linked","done",""
"HR5000 - 2"" Rotary Hammer (Spline, AC/DC)","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"11 Amp Orbital Action Super Sawzall | (6521-21)","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"4-1/2 in. Sander/Grinder (6140-6)","already imported","b536d196-c399-4537-9799-3d9d6610615d","uploaded + linked","done",""
"5 in. Sander/Grinder","already imported","6185716e-a36d-4295-9bdb-07060a312408","uploaded + linked","done",""
"Adjustable Position Electromagnetic Drill Press with No. 3 MT Motor | (4208-1)","already imported","0c5cef8a-5343-4940-948f-2add1134522b","uploaded + linked","done",""
"Adjustable Position Electromagnetic Drill Press with No. 3 MT Motor | (4209-1)","already imported","2c3d0932-24e7-4304-bb97-fd21297000d2","uploaded + linked","done",""
"Fixed Position Electromagnetic Drill Press with 3/4 in. Motor | (4210-1)","already imported","1978643c-b8df-4579-ad3e-7446ebe4531b","uploaded + linked","done",""
"Milwaukee 10 Amp Sawzall® Reciprocating Saw w/Case (6509-21)","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"MODEL-2001","already imported","cd8aa32f-d1f2-405e-9320-49e076b3847c","uploaded + linked","done",""
"MODEL-3001","already imported","c22c424d-7316-43c4-90d6-62d0f9c136e0","uploaded + linked","done",""
"MODEL-4001","already imported","789afb77-b744-460d-9c0d-79cf647adc8d","uploaded + linked","done",""
"MODEL-5001","already imported","c217f47e-0fef-4824-a44f-2a265e76bfa8","uploaded + linked","done",""
"The Saw Devil - CS1","already imported","a8c3f4ab-2d87-42f8-a435-2822c14b3dbe","uploaded + linked","done",""
