"Name","Brand","Model","Category","ProductAction","ProductId","ImageAction","ImageUrl","Error"
"BLW-400SS","Multiquip","BLW-400SS","Generators","inserted","3108640e-07c0-4b51-9dc9-25de064f4a31","none","https://billsequipment.mydomain.com/images/multiquip/BLW-400SSW.gif","The remote server returned an error: (400) Bad Request."
"GLW-180H","Multiquip","GLW-180H","Generators","inserted","4e80298d-d0fd-42de-a961-a7b5fd4ce268","none","https://billsequipment.mydomain.com/images/multiquip/glw180.gif","The remote server returned an error: (400) Bad Request."
"SDW-225SS","Multiquip","SDW-225SS","Generators","inserted","4e096819-4e85-4c09-9f0b-2dd0165644c7","none","https://billsequipment.mydomain.com/images/multiquip/SDW225ss1.gif","The remote server returned an error: (400) Bad Request."
"TLW-300SS","Multiquip","TLW-300SS","Generators","inserted","d9760f7f-eeba-4bfa-8fc8-5aa31808cadd","none","https://billsequipment.mydomain.com/images/multiquip/TLW-300SS.gif","The remote server returned an error: (400) Bad Request."
"G 2.5A","Wacker","","Generators","inserted","69a6fdd1-9971-47e5-b963-b9c1a3997c9d","none","https://billsequipment.mydomain.com/images/wacker/g25.gif","The remote server returned an error: (400) Bad Request."
"G 25","Wacker","","Generators","inserted","2176c934-2789-4351-869f-e4f6e094449b","none","https://billsequipment.mydomain.com/images/wacker/g25mobile.gif","The remote server returned an error: (400) Bad Request."
"Wacker Generator","Wacker","","Generators","inserted","d10ff3aa-a848-4897-a4e4-cd00fa5195c7","none","https://billsequipment.mydomain.com/images/wacker/g50mobile.gif","The remote server returned an error: (400) Bad Request."
"Wacker Generator","Wacker","","Generators","skipped - matches existing product","d10ff3aa-a848-4897-a4e4-cd00fa5195c7","not attempted","https://billsequipment.mydomain.com/images/wacker/g56.gif",""
"Ideal for","EDCO","","Mortar & Plaster Equipment","skipped - matches existing product","31c12f24-8d2d-4c3b-8b97-8ab0c2c32a8b","not attempted","https://billsequipment.mydomain.com/images/edco/scarifierassemblies.jpg",""
"Ideal for","EDCO","","Mortar & Plaster Equipment","skipped - matches existing product","31c12f24-8d2d-4c3b-8b97-8ab0c2c32a8b","not attempted","https://billsequipment.mydomain.com/images/edco/surfacerdisc.jpg",""
"M-60, M-80, M-90, M120/121 | Models Available","MBW","M-60","Mortar & Plaster Equipment","failed","","none","https://billsequipment.mydomain.com/images/mbw/mixer_a.jpg","The remote server returned an error: (400) Bad Request."
"Mayco Plaster/Mortar/Fireproofing (MG-30)","Multiquip","MG-30","Mortar & Plaster Equipment","inserted","b8ee00cf-cf1c-4b77-83b8-8206d0ab0e65","none","https://billsequipment.mydomain.com/images/multiquip/mg30.gif","The remote server returned an error: (400) Bad Request."
"Plaster/Mortar Mixer (EM-120SM-E51)","Multiquip","EM-120SM-E51","Mortar & Plaster Equipment","inserted","12b9dff2-a928-4445-a60f-de884db76c94","none","https://billsequipment.mydomain.com/images/multiquip/em-120s.gif","The remote server returned an error: (400) Bad Request."
"Cyclone 488 XR","Spray Force","","Mortar & Plaster Equipment","inserted","c7ddc583-af7c-41dd-ad49-7f4a0713822a","none","https://billsequipment.mydomain.com/images/sprayforce/cyclone-488-xr-hopper-3.jpg","The remote server returned an error: (400) Bad Request."
"Spray Force Engine","Spray Force","","Mortar & Plaster Equipment","inserted","674fc5af-6456-4baa-8684-56deff61edae","none","https://billsequipment.mydomain.com/images/sprayforce/texan.gif","The remote server returned an error: (400) Bad Request."
"Mortar Mixer - 1285pm Gas","Stone","B78","Mortar & Plaster Equipment","skipped - matches existing product","70c6c175-8400-43a6-af04-587ae193adba","not attempted","https://billsequipment.mydomain.com/images/stonemixers/1285pm.jpg",""
"1/2"" High-Speed Drill","Bosch","1033VSR","Power Tools","failed","","none","https://billsequipment.mydomain.com/images/bosch/1033VSR.jpg","The remote server returned an error: (400) Bad Request."
"1/2"" High-Torque Drill","Bosch","1034VSR","Power Tools","failed","","none","https://billsequipment.mydomain.com/images/bosch/1034VSR.jpg","The remote server returned an error: (400) Bad Request."
"1-9/16"" Spline Combination Hammer","Bosch","11248EVS","Power Tools","failed","","none","https://billsequipment.mydomain.com/images/bosch/11248EVS.jpg","The remote server returned an error: (400) Bad Request."
"7"" Large Angle Grinder","Bosch","1752G7","Power Tools","inserted","b423bffa-5975-4e50-9e59-79f0402870e1","none","https://billsequipment.mydomain.com/images/bosch/1752G7_01.jpg","The remote server returned an error: (400) Bad Request."
"9"" Large Angle Grinder","Bosch","1754G","Power Tools","inserted","16f1df8c-3ec9-4ce2-bf4b-1c1ecb0911e1","none","https://billsequipment.mydomain.com/images/bosch/1754G_01.jpg","The remote server returned an error: (400) Bad Request."
"SDS-max® Demolition Hammer","Bosch","11318EVS","Power Tools","failed","","none","https://billsequipment.mydomain.com/images/bosch/11318EVS.jpg","The remote server returned an error: (400) Bad Request."
"SDS-max® Demolition Hammer","Bosch","11316EVS","Power Tools","failed","","none","https://billsequipment.mydomain.com/images/bosch/11316EVS.jpg","The remote server returned an error: (400) Bad Request."
